<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
21/09/18,113270,113270,113260,113270
21/09/18,113270,113270,113270,113270
21/09/18,113270,113290,113270,113290
21/09/18,113280,113300,113270,113270
21/09/18,113270,113290,113260,113290
21/09/18,113280,113290,113260,113280
21/09/18,113270,113300,113270,113280
21/09/18,113280,113290,113280,113290
21/09/18,113280,113300,113280,113290
21/09/18,113290,113290,113280,113280
21/09/18,113280,113280,113270,113270
21/09/18,113270,113280,113260,113270
21/09/18,113270,113270,113270,113270
21/09/18,113280,113280,113280,113280
21/09/18,113270,113290,113270,113290
21/09/18,113280,113290,113270,113290
21/09/18,113270,113280,113270,113280
21/09/18,113270,113280,113270,113280
21/09/18,113280,113300,113280,113290
21/09/18,113300,113300,113300,113300
21/09/18,113300,113300,113230,113230
21/09/18,113240,113250,113220,113250
21/09/18,113260,113280,113260,113260
21/09/18,113280,113340,113280,113330
21/09/18,113330,113340,113330,113340
21/09/18,113330,113340,113320,113320
21/09/18,113320,113330,113310,113310
21/09/18,113310,113320,113300,113300
21/09/18,113300,113330,113300,113330
21/09/18,113330,113360,113330,113360
21/09/18,113360,113370,113350,113360
21/09/18,113360,113370,113350,113370
21/09/18,113370,113380,113360,113360
21/09/18,113360,113360,113350,113350
21/09/18,113350,113380,113350,113370
21/09/18,113370,113380,113360,113360
21/09/18,113370,113370,113320,113340
21/09/18,113330,113330,113290,113290
21/09/18,113290,113330,113280,113320
21/09/18,113330,113330,113290,113290
21/09/18,113310,113310,113280,113310
21/09/18,113320,113360,113310,113340
21/09/18,113360,113380,113360,113360
21/09/18,113380,113440,113360,113440
21/09/18,113440,113480,113430,113450
21/09/18,113450,113710,113450,113500
23/10/18,111650,111650,110500,110630
23/10/18,110630,110700,110540,110640
23/10/18,110650,110870,110630,110840
23/10/18,110850,110850,110670,110670
23/10/18,110680,110820,110650,110660
23/10/18,110660,110790,110640,110780
23/10/18,110780,110830,110710,110740
23/10/18,110740,110840,110710,110800
23/10/18,110810,110850,110500,110600
23/10/18,110590,110630,110540,110580
23/10/18,110580,110650,110540,110580
23/10/18,110590,110710,110570,110710
23/10/18,110710,110790,110680,110720
23/10/18,110720,110870,110700,110850
23/10/18,110840,110920,110820,110880
23/10/18,110890,110900,110820,110900
23/10/18,110910,110930,110820,110840
23/10/18,110850,110900,110800,110870
23/10/18,110870,110920,110810,110840
23/10/18,110840,110900,110830,110900
23/10/18,110900,110920,110810,110890
23/10/18,110890,110890,110800,110860
23/10/18,110870,110910,110800,110870
23/10/18,110870,110960,110750,110950
23/10/18,110960,111080,110930,111040
23/10/18,111030,111050,110890,110910
23/10/18,110900,111060,110900,111060
23/10/18,111060,111090,110990,111040
23/10/18,111040,111070,110980,111020
23/10/18,111040,111040,110980,111000
23/10/18,110990,111170,110970,111130
23/10/18,111120,111170,111080,111120
23/10/18,111110,111170,111080,111140
23/10/18,111140,111210,111140,111200
23/10/18,111200,111220,111150,111170
23/10/18,111180,111200,111130,111170
23/10/18,111180,111200,111140,111170
23/10/18,111160,111200,111120,111140
23/10/18,111140,111180,111120,111180
23/10/18,111170,111170,111090,111090
23/10/18,111090,111110,111060,111080
23/10/18,111070,111100,111050,111100
23/10/18,111090,111150,111060,111090
23/10/18,111080,111120,111020,111040
23/10/18,111030,111100,111020,111020
23/10/18,111020,111040,110870,110910
23/10/18,110900,110970,110880,110920
23/10/18,110930,110960,110870,110940
23/10/18,110940,111010,110930,110940
23/10/18,110930,110930,110870,110870
23/10/18,110890,110900,110850,110880
23/10/18,110880,110920,110850,110870
23/10/18,110870,111000,110870,110980
23/10/18,110980,110980,110920,110930
23/10/18,110950,110990,110930,110930
23/10/18,110920,110930,110830,110870
23/10/18,110880,110910,110820,110830
23/10/18,110830,110850,110680,110690
23/10/18,110690,110760,110690,110730
23/10/18,110740,110740,110670,110670
23/10/18,110670,110730,110620,110730
23/10/18,110730,110760,110710,110710
23/10/18,110710,110780,110690,110730
23/10/18,110730,110750,110690,110720
23/10/18,110710,110740,110670,110720
23/10/18,110720,110720,110670,110690
23/10/18,110680,110730,110630,110690
23/10/18,110700,110850,110700,110840
23/10/18,110850,110890,110780,110810
23/10/18,110800,110840,110750,110800
23/10/18,110790,110800,110760,110790
23/10/18,110790,110870,110720,110830
23/10/18,110850,110850,110780,110800
23/10/18,110790,110800,110660,110680
23/10/18,110680,110710,110650,110680
23/10/18,110680,110720,110590,110640
23/10/18,110640,110680,110610,110650
23/10/18,110640,110660,110580,110620
23/10/18,110620,110620,110560,110570
23/10/18,110570,110610,110410,110430
23/10/18,110430,110560,110380,110560
23/10/18,110540,110670,110540,110600
23/10/18,110600,110670,110580,110670
23/10/18,110660,110670,110590,110640
23/10/18,110660,110710,110600,110680
23/10/18,110680,110690,110590,110600
23/10/18,110590,110630,110560,110600
23/10/18,110600,110610,110390,110410
23/10/18,110400,110490,110390,110450
23/10/18,110460,110480,110380,110400
23/10/18,110400,110480,110280,110470
23/10/18,110470,110470,110410,110440
23/10/18,110440,110550,110420,110540
23/10/18,110550,110700,110530,110650
23/10/18,110660,110700,110630,110680
23/10/18,110680,110690,110570,110690
23/10/18,110680,110680,110620,110650
23/10/18,110640,110690,110570,110600
23/10/18,110620,110650,110600,110630
23/10/18,110640,110650,110560,110570
23/10/18,110570,110650,110560,110640
23/10/18,110660,110690,110600,110620
23/10/18,110630,110790,110580,110730
23/10/18,110720,110780,110700,110770
23/10/18,110770,110860,110720,110840
23/10/18,110850,110890,110800,110820
23/10/18,110820,110840,110730,110730
23/10/18,110730,110760,110710,110710
23/10/18,110710,110790,110710,110770
23/10/18,110770,110800,110720,110720
23/10/18,110730,110770,110710,110720
23/10/18,110720,110760,110700,110700
23/10/18,110700,110740,110700,110730
23/10/18,110730,110800,110710,110780
23/10/18,110770,110790,110740,110740
23/10/18,110740,110750,110670,110730
23/10/18,110720,110740,110690,110710
23/10/18,110710,110720,110650,110660
23/10/18,110660,110710,110650,110670
23/10/18,110670,110680,110600,110610
23/10/18,110600,110660,110590,110600
23/10/18,110610,110630,110540,110580
23/10/18,110580,110580,110520,110540
23/10/18,110550,110560,110440,110450
23/10/18,110450,110500,110410,110500
23/10/18,110500,110510,110430,110470
23/10/18,110470,110510,110460,110470
23/10/18,110470,110510,110450,110510
23/10/18,110510,110600,110510,110580
23/10/18,110580,110600,110500,110520
23/10/18,110520,110590,110500,110580
23/10/18,110580,110630,110570,110590
23/10/18,110590,110670,110580,110610
23/10/18,110610,110660,110570,110600
23/10/18,110600,110640,110560,110630
23/10/18,110610,110630,110500,110520
23/10/18,110510,110550,110500,110510
23/10/18,110500,110530,110360,110390
23/10/18,110400,110460,110390,110390
23/10/18,110400,110450,110330,110340
23/10/18,110340,110440,110310,110440
23/10/18,110450,110650,110450,110640
23/10/18,110650,110680,110620,110630
23/10/18,110620,110660,110590,110590
23/10/18,110590,110600,110510,110510
23/10/18,110520,110530,110410,110430
23/10/18,110440,110440,110220,110260
23/10/18,110270,110350,110250,110330
23/10/18,110330,110380,110230,110310
23/10/18,110280,110300,110130,110140
23/10/18,110140,110250,110110,110230
23/10/18,110220,110230,110160,110180
23/10/18,110180,110230,110150,110160
23/10/18,110160,110220,110150,110210
23/10/18,110200,110230,110180,110230
23/10/18,110230,110230,110180,110200
23/10/18,110180,110200,110120,110140
23/10/18,110130,110180,110130,110150
23/10/18,110160,110310,110150,110290
23/10/18,110310,110380,110300,110350
23/10/18,110340,110340,110270,110300
23/10/18,110300,110310,110250,110260
23/10/18,110250,110300,110250,110260
23/10/18,110270,110340,110260,110280
23/10/18,110280,110290,110190,110290
23/10/18,110280,110320,110260,110270
23/10/18,110270,110340,110270,110330
23/10/18,110320,110350,110280,110350
23/10/18,110350,110380,110320,110340
23/10/18,110340,110390,110320,110390
23/10/18,110390,110470,110300,110460
23/10/18,110460,110480,110410,110430
23/10/18,110430,110510,110430,110510
23/10/18,110510,110520,110440,110440
23/10/18,110440,110470,110430,110470
23/10/18,110480,110490,110430,110490
23/10/18,110490,110560,110450,110480
23/10/18,110470,110500,110400,110410
23/10/18,110400,110510,110400,110500
23/10/18,110500,110600,110500,110560
23/10/18,110560,110630,110550,110580
23/10/18,110580,110620,110550,110550
23/10/18,110550,110550,110470,110530
23/10/18,110520,110530,110450,110470
23/10/18,110480,110550,110470,110520
23/10/18,110540,110570,110520,110570
23/10/18,110560,110610,110460,110490
23/10/18,110490,110520,110400,110420
23/10/18,110430,110530,110410,110530
23/10/18,110530,110580,110530,110570
23/10/18,110570,110710,110560,110660
23/10/18,110660,110700,110620,110630
23/10/18,110640,110660,110620,110630
23/10/18,110620,110640,110580,110620
23/10/18,110610,110720,110600,110690
23/10/18,110680,110780,110670,110720
23/10/18,110730,110760,110680,110700
23/10/18,110690,110740,110670,110730
23/10/18,110720,110760,110670,110730
23/10/18,110730,110820,110720,110790
23/10/18,110800,110830,110780,110790
23/10/18,110790,110850,110780,110830
23/10/18,110820,110940,110810,110900
23/10/18,110890,110940,110880,110910
23/10/18,110910,110910,110830,110850
23/10/18,110850,110860,110800,110800
23/10/18,110800,110820,110750,110770
23/10/18,110760,110790,110660,110720
23/10/18,110720,110790,110710,110770
23/10/18,110760,110810,110730,110760
23/10/18,110760,110810,110620,110670
23/10/18,110660,110680,110600,110650
23/10/18,110650,110660,110600,110650
23/10/18,110650,110670,110550,110560
23/10/18,110560,110580,110510,110570
23/10/18,110570,110650,110570,110620
23/10/18,110620,110620,110560,110620
23/10/18,110630,110700,110600,110700
23/10/18,110690,110710,110630,110660
23/10/18,110660,110690,110660,110670
23/10/18,110680,110700,110610,110640
23/10/18,110650,110650,110620,110630
23/10/18,110620,110640,110590,110640
23/10/18,110630,110740,110630,110700
23/10/18,110700,110720,110660,110670
23/10/18,110660,110710,110620,110690
23/10/18,110690,110700,110670,110670
23/10/18,110660,110690,110660,110660
23/10/18,110650,110690,110560,110560
23/10/18,110560,110620,110560,110600
23/10/18,110600,110670,110590,110630
23/10/18,110630,110690,110550,110630
23/10/18,110630,110690,110580,110650
23/10/18,110650,110680,110620,110630
23/10/18,110620,110740,110620,110680
23/10/18,110670,110670,110610,110620
23/10/18,110620,110690,110590,110660
23/10/18,110660,110690,110600,110650
23/10/18,110650,110650,110580,110630
23/10/18,110630,110660,110610,110640
23/10/18,110640,110840,110630,110830
23/10/18,110830,110880,110780,110850
23/10/18,110840,110850,110740,110740
23/10/18,110740,110810,110740,110810
23/10/18,110800,110880,110770,110860
23/10/18,110850,110930,110850,110850
23/10/18,110860,110890,110810,110890
23/10/18,110880,110880,110850,110850
23/10/18,110850,110900,110840,110840
23/10/18,110860,110980,110860,110980
23/10/18,110980,111000,110950,110970
23/10/18,110980,111000,110910,110940
23/10/18,110940,111000,110930,111000
23/10/18,110990,111120,110980,111050
23/10/18,111060,111130,111030,111100
23/10/18,111100,111310,111090,111260
23/10/18,111260,111290,111200,111220
23/10/18,111220,111270,111220,111220
23/10/18,111220,111230,111160,111170
23/10/18,111170,111220,111140,111180
23/10/18,111200,111210,111130,111170
23/10/18,111170,111190,111100,111110
23/10/18,111130,111180,111130,111160
23/10/18,111160,111210,111150,111180
23/10/18,111200,111330,111200,111290
23/10/18,111290,111320,111220,111230
23/10/18,111220,111270,111200,111250
23/10/18,111250,111280,111230,111260
23/10/18,111270,111310,111230,111240
23/10/18,111250,111260,111170,111200
23/10/18,111200,111220,111090,111120
23/10/18,111110,111140,111090,111110
23/10/18,111120,111150,111100,111120
23/10/18,111120,111160,111090,111100
23/10/18,111090,111100,110990,111020
23/10/18,111030,111100,111020,111070
23/10/18,111070,111120,111020,111020
23/10/18,111020,111030,110880,110910
23/10/18,110910,110950,110870,110930
23/10/18,110930,110950,110870,110870
23/10/18,110870,110920,110760,110770
23/10/18,110770,110860,110740,110810
23/10/18,110810,110900,110790,110900
23/10/18,110890,110920,110870,110870
23/10/18,110890,110950,110860,110930
23/10/18,110920,110970,110920,110960
23/10/18,110940,110990,110930,110990
23/10/18,110990,110990,110890,110930
23/10/18,110930,111080,110920,111080
23/10/18,111070,111170,111050,111160
23/10/18,111150,111170,111100,111120
23/10/18,111110,111140,111080,111120
23/10/18,111110,111190,111090,111130
23/10/18,111150,111170,111120,111150
23/10/18,111140,111150,111110,111140
23/10/18,111130,111220,111120,111160
23/10/18,111170,111260,111170,111250
23/10/18,111250,111290,111230,111250
23/10/18,111250,111280,111190,111200
23/10/18,111210,111230,111130,111190
23/10/18,111190,111240,111180,111240
23/10/18,111240,111320,111240,111270
23/10/18,111270,111390,111250,111370
23/10/18,111370,111370,111260,111270
23/10/18,111280,111300,111260,111280
23/10/18,111270,111360,111250,111350
23/10/18,111330,111350,111280,111290
23/10/18,111300,111320,111200,111220
23/10/18,111220,111240,111150,111160
23/10/18,111170,111210,111010,111090
23/10/18,111090,111240,111030,111210
23/10/18,111210,111210,111170,111200
23/10/18,111200,111240,111170,111230
23/10/18,111220,111240,111200,111240
23/10/18,111240,111350,111220,111340
23/10/18,111340,111350,111290,111310
23/10/18,111310,111330,111260,111280
23/10/18,111280,111290,111240,111270
23/10/18,111270,111300,111260,111270
23/10/18,111270,111320,111250,111310
23/10/18,111300,111370,111300,111330
23/10/18,111330,111350,111220,111220
23/10/18,111220,111240,111150,111210
23/10/18,111220,111230,111160,111200
23/10/18,111200,111260,111190,111250
23/10/18,111250,111260,111200,111250
23/10/18,111260,111270,111260,111270
23/10/18,111270,111380,111260,111360
23/10/18,111370,111500,111330,111490
23/10/18,111480,111530,111460,111510
23/10/18,111510,111570,111510,111530
23/10/18,111540,111540,111490,111490
23/10/18,111490,111510,111470,111490
23/10/18,111490,111560,111480,111520
23/10/18,111510,111550,111470,111490
23/10/18,111500,111530,111480,111500
23/10/18,111510,111700,111510,111650
23/10/18,111640,111690,111600,111690
23/10/18,111690,111690,111640,111650
23/10/18,111660,111710,111650,111680
23/10/18,111680,111690,111600,111650
23/10/18,111660,111690,111620,111630
23/10/18,111630,111640,111570,111600
23/10/18,111610,111620,111560,111570
23/10/18,111560,111560,111500,111540
23/10/18,111550,111590,111540,111550
23/10/18,111570,111590,111520,111590
23/10/18,111590,111630,111540,111550
23/10/18,111560,111640,111540,111610
23/10/18,111610,111610,111530,111560
23/10/18,111560,111590,111480,111510
23/10/18,111520,111580,111500,111500
23/10/18,111510,111520,111500,111510
23/10/18,111500,111570,111480,111570
23/10/18,111570,111650,111560,111590
23/10/18,111590,111600,111430,111490
23/10/18,111490,111490,111340,111380
23/10/18,111370,111380,111260,111260
23/10/18,111260,111320,111240,111300
23/10/18,111300,111310,111240,111270
23/10/18,111270,111290,111210,111270
23/10/18,111280,111340,111260,111280
23/10/18,111270,111320,111270,111270
23/10/18,111270,111320,111270,111300
23/10/18,111310,111420,111300,111380
23/10/18,111380,111400,111300,111300
23/10/18,111310,111320,111220,111230
23/10/18,111240,111330,111220,111220
23/10/18,111230,111310,111220,111270
23/10/18,111260,111290,111170,111170
23/10/18,111170,111170,111020,111030
23/10/18,111020,111060,110970,110980
23/10/18,110970,111000,110940,110960
23/10/18,110950,110970,110890,110940
23/10/18,110930,111000,110920,110990
23/10/18,110980,111010,110900,110980
23/10/18,110980,111140,110970,111130
23/10/18,111120,111140,111060,111120
23/10/18,111110,111170,111100,111120
23/10/18,111130,111170,111100,111130
23/10/18,111120,111140,111040,111090
23/10/18,111090,111100,110970,111020
23/10/18,111010,111060,111010,111040
23/10/18,111040,111060,110970,110990
23/10/18,110990,111120,110970,111120
23/10/18,111120,111130,110870,110940
23/10/18,110950,111190,110940,111150
23/10/18,111140,111380,111120,111330
23/10/18,111340,111340,111140,111160
23/10/18,111170,111260,111050,111230
23/10/18,111220,111350,111120,111330
23/10/18,111320,111410,111280,111360
23/10/18,111350,111450,111340,111430
23/10/18,111440,111470,111390,111460
23/10/18,111440,111460,111370,111380
23/10/18,111380,111380,111210,111220
23/10/18,111220,111350,111210,111240
23/10/18,111240,111250,111110,111210
23/10/18,111200,111270,111140,111260
23/10/18,111270,111270,111110,111120
23/10/18,111120,111210,111070,111150
23/10/18,111140,111210,111100,111180
23/10/18,111170,111200,111110,111190
23/10/18,111180,111340,111170,111280
23/10/18,111280,111380,111270,111290
23/10/18,111300,111310,111160,111170
23/10/18,111170,111240,111140,111220
23/10/18,111230,111280,111150,111180
23/10/18,111180,111230,111160,111200
23/10/18,111200,111250,111110,111130
23/10/18,111140,111210,111100,111160
23/10/18,111170,111250,111160,111220
23/10/18,111220,111230,111180,111190
23/10/18,111190,111200,111130,111170
23/10/18,111170,111170,111050,111060
23/10/18,111070,111180,111050,111170
23/10/18,111170,111180,111000,111010
23/10/18,111010,111020,110860,110860
23/10/18,110860,110870,110720,110750
23/10/18,110750,110810,110680,110700
23/10/18,110700,110790,110680,110790
23/10/18,110800,110800,110600,110670
23/10/18,110660,110690,110570,110600
23/10/18,110600,110670,110580,110640
23/10/18,110630,110640,110530,110570
23/10/18,110580,110670,110500,110630
23/10/18,110650,110660,110600,110630
23/10/18,110620,110630,110530,110580
23/10/18,110570,110580,110450,110460
23/10/18,110470,110490,110310,110390
23/10/18,110390,110460,110350,110430
23/10/18,110430,110470,110380,110460
23/10/18,110460,110530,110420,110450
23/10/18,110440,110500,110390,110500
23/10/18,110480,110500,110440,110440
23/10/18,110440,110610,110400,110570
23/10/18,110580,110620,110510,110530
23/10/18,110530,110560,110480,110490
23/10/18,110500,110540,110390,110460
23/10/18,110450,110580,110410,110570
23/10/18,110550,110590,110500,110590
23/10/18,110590,110630,110510,110610
23/10/18,110610,110800,110600,110770
23/10/18,110770,110890,110770,110860
23/10/18,110860,110880,110790,110800
23/10/18,110820,110830,110750,110770
23/10/18,110770,110810,110750,110800
23/10/18,110810,110820,110690,110690
23/10/18,110690,110730,110680,110710
23/10/18,110710,110710,110590,110650
23/10/18,110650,110690,110630,110660
23/10/18,110660,110680,110620,110670
23/10/18,110680,110770,110620,110760
23/10/18,110760,110780,110700,110740
23/10/18,110730,110890,110710,110880
23/10/18,110870,110930,110860,110910
23/10/18,110900,110900,110810,110830
23/10/18,110810,110860,110810,110830
23/10/18,110830,110920,110830,110920
23/10/18,110920,110990,110900,110920
23/10/18,110920,110930,110820,110830
23/10/18,110830,110950,110820,110910
23/10/18,110910,111200,110910,111150
23/10/18,111140,111200,111110,111160
23/10/18,111180,111330,111180,111230
23/10/18,111230,111270,111180,111250
23/10/18,111250,111320,111250,111260
23/10/18,111250,111280,111170,111230
23/10/18,111230,111290,111210,111230
23/10/18,111240,111290,111180,111290
23/10/18,111290,111330,111200,111220
23/10/18,111230,111280,111220,111250
23/10/18,111250,111260,111120,111140
23/10/18,111150,111180,111100,111100
23/10/18,111100,111110,110990,111010
23/10/18,111010,111100,110970,110990
23/10/18,111000,111100,110990,111010
23/10/18,111020,111070,110920,110960
23/10/18,110970,111030,110890,111000
23/10/18,110980,111090,110950,111030
23/10/18,111030,111140,111030,111070
23/10/18,111070,111120,111060,111060
23/10/18,111070,111240,111060,111220
23/10/18,111220,111270,111150,111160
23/10/18,111170,111190,111120,111130
23/10/18,111150,111270,111140,111230
23/10/18,111240,111270,111160,111200
23/10/18,111190,111300,111190,111260
23/10/18,111260,111280,111140,111160
23/10/18,111170,111290,111150,111250
23/10/18,111250,111290,111150,111200
23/10/18,111200,111250,111170,111230
23/10/18,111220,111390,111220,111380
23/10/18,111380,111400,111270,111280
23/10/18,111280,111350,111260,111330
23/10/18,111330,111350,111300,111310
23/10/18,111310,111340,111270,111270
23/10/18,111270,111290,111210,111210
23/10/18,111210,111220,111130,111150
23/10/18,111160,111180,111110,111170
23/10/18,111160,111160,111060,111060
23/10/18,111050,111110,111020,111020
23/10/18,111020,111040,110970,111020
23/10/18,111010,111060,111000,111020
23/10/18,111020,111030,110980,110990
23/10/18,110990,111060,110960,110970
23/10/18,110980,111040,110930,111040
23/10/18,111040,111040,110960,110990
23/10/18,110990,111040,110960,110960
23/10/18,110960,110970,110800,110830
23/10/18,110830,110890,110800,110820
23/10/18,110830,110850,110770,110840
23/10/18,110810,110870,110810,110850
23/10/18,110850,110860,110750,110750
23/10/18,110760,110810,110730,110780
23/10/18,110770,110830,110770,110820
23/10/18,110810,110840,110750,110780
23/10/18,110790,110820,110730,110820
23/10/18,110820,110820,110720,110730
23/10/18,110730,110730,110570,110570
23/10/18,110550,110580,110170,110400
23/10/18,110400,110510,110390,110510
23/10/18,110490,110520,110470,110500
23/10/18,110510,110510,110370,110370
23/10/18,110370,110480,110350,110410
23/10/18,110410,110520,110350,110500
23/10/18,110510,110610,110500,110580
23/10/18,110580,110610,110540,110580
23/10/18,110590,110600,110550,110570
23/10/18,110570,110720,110570,110680
23/10/18,110670,110680,110560,110570
23/10/18,110580,110620,110530,110530
23/10/18,110520,110620,110520,110580
23/10/18,110590,110630,110570,110610
23/10/18,110610,110640,110580,110630
23/10/18,110630,110640,110570,110620
23/10/18,110620,110620,110470,110470
23/10/18,110470,110510,110430,110430
23/10/18,110430,110500,110420,110490
23/10/18,110500,110590,110470,110550
23/10/18,110540,110600,110530,110590
23/10/18,110590,110620,110540,110570
23/10/18,110570,110700,110560,110670
23/10/18,110670,110740,110650,110700
23/10/18,110700,110740,110660,110670
23/10/18,110670,110690,110610,110670
23/10/18,110660,110770,110660,110760
23/10/18,110760,110790,110680,110710
23/10/18,110710,110740,110650,110730
23/10/18,110730,110730,110650,110680
23/10/18,110670,110770,110650,110750
23/10/18,110750,110840,110750,110840
23/10/18,110840,110920,110840,110910
23/10/18,110900,110970,110890,110930
23/10/18,110920,110950,110860,110870
23/10/18,110870,110960,110870,110910
23/10/18,110910,110940,110870,110940
23/10/18,110940,110980,110880,110910
23/10/18,110920,110940,110880,110940
23/10/18,110930,110990,110910,110980
23/10/18,110990,111030,110950,111020
23/10/18,111020,111040,110960,110990
23/10/18,110980,111200,110980,111160
23/10/18,111170,111170,111080,111130
23/10/18,111140,111150,111100,111130
23/10/18,111130,111160,111100,111120
23/10/18,111110,111140,111070,111110
23/10/18,111120,111130,111090,111120
23/10/18,111120,111160,111090,111090
23/10/18,111090,111150,111090,111150
23/10/18,111160,111570,111150,111480
23/10/18,111480,111550,111390,111460
23/10/18,111470,111510,111360,111410
23/10/18,111410,111430,111360,111380
23/10/18,111390,111420,111380,111390
23/10/18,111390,111430,111360,111380
23/10/18,111370,111390,111310,111380
23/10/18,111370,111380,111300,111300
23/10/18,111310,111340,111290,111290
23/10/18,111310,111340,111260,111260
23/10/18,111260,111350,111260,111270
23/10/18,111280,111380,111260,111350
23/10/18,111350,111510,111340,111490
23/10/18,111480,111560,111450,111480
23/10/18,111490,111540,111450,111530
23/10/18,111540,111630,111470,111480
23/10/18,111480,111500,111420,111450
23/10/18,111470,111600,111470,111530
23/10/18,111530,111530,111440,111450
23/10/18,111460,111600,111460,111580
23/10/18,111580,111640,111560,111580
23/10/18,111570,111610,111530,111570
23/10/18,111570,111620,111560,111580
23/10/18,111590,111840,111560,111720
23/10/18,111710,111760,111650,111680
23/10/18,111680,111740,111630,111630
23/10/18,111640,111640,111580,111610
23/10/18,111600,111660,111560,111640
23/10/18,111640,111640,111550,111570
23/10/18,111570,111600,111530,111530
23/10/18,111540,111570,111500,111530
23/10/18,111540,111780,111540,111750
23/10/18,111750,111890,111740,111870
23/10/18,111870,111870,111800,111860
23/10/18,111860,111960,111860,111950
23/10/18,111940,111960,111870,111900
23/10/18,111900,111920,111860,111890
23/10/18,111910,111950,111810,111830
23/10/18,111820,111820,111770,111810
23/10/18,111790,111800,111730,111770
23/10/18,111760,111880,111750,111880
23/10/18,111880,111880,111760,111790
23/10/18,111800,111830,111790,111810
23/10/18,111810,111840,111790,111800
23/10/18,111800,111810,111770,111800
23/10/18,111790,111790,111530,111550
23/10/18,111550,111600,111540,111540
23/10/18,111550,111590,111510,111520
23/10/18,111520,111550,111520,111540
23/10/18,111550,111630,111540,111630
23/10/18,111630,111660,111560,111560
23/10/18,111570,111610,111560,111570
23/10/18,111570,111580,111450,111470
23/10/18,111460,111510,111410,111490
23/10/18,111480,111520,111480,111490
23/10/18,111490,111560,111470,111530
23/10/18,111510,111550,111460,111470
23/10/18,111470,111530,111460,111500
23/10/18,111500,111530,111450,111480
23/10/18,111460,111480,111420,111480
23/10/18,111470,111470,111410,111410
23/10/18,111410,111550,111390,111540
23/10/18,111540,111540,111450,111470
23/10/18,111460,111480,111410,111420
23/10/18,111430,111460,111400,111440
23/10/18,111430,111500,111430,111450
23/10/18,111450,111460,111410,111410
23/10/18,111420,111450,111410,111440
23/10/18,111440,111440,111390,111420
23/10/18,111410,111440,111370,111410
23/10/18,111410,111500,111410,111430
23/10/18,111420,111530,111390,111520
23/10/18,111530,111590,111520,111540
23/10/18,111540,111550,111460,111470
23/10/18,111470,111530,111440,111530
23/10/18,111530,111560,111460,111460
23/10/18,111470,111640,111470,111590
23/10/18,111600,111640,111570,111590
23/10/18,111610,111700,111600,111640
23/10/18,111640,111650,111620,111620
23/10/18,111630,111690,111610,111610
23/10/18,111630,111740,111630,111720
23/10/18,111720,111770,111680,111750
23/10/18,111740,111760,111700,111720
23/10/18,111720,111740,111660,111660
23/10/18,111650,111750,111650,111730
23/10/18,111730,111790,111690,111740
23/10/18,111760,111770,111700,111740
23/10/18,111750,111810,111710,111740
23/10/18,111750,111810,111740,111800
23/10/18,111810,111830,111720,111750
23/10/18,111760,111780,111720,111730
23/10/18,111740,111790,111740,111780
23/10/18,111770,111800,111750,111780
23/10/18,111800,111840,111720,111840
23/10/18,111840,111840,111750,111790
23/10/18,111790,111810,111720,111730
23/10/18,111730,111760,111680,111740
23/10/18,111750,112300,111720,112160
23/10/18,112160,112160,112070,112080
23/10/18,112080,112250,112080,112130
23/10/18,112130,112180,112110,112170
23/10/18,112170,112290,112140,112280
23/10/18,112280,112300,112240,112250
23/10/18,112250,112270,112190,112200
23/10/18,112200,112280,112190,112280
23/10/18,112280,112290,112200,112260
23/10/18,112260,112450,112260,112340
23/10/18,112340,112370,112300,112310
23/10/18,112310,112310,112250,112280
23/10/18,112270,112310,112230,112230
23/10/18,112240,112260,112200,112200
23/10/18,112200,112270,112150,112270
23/10/18,112260,112330,112200,112210
23/10/18,112210,112270,112180,112260
23/10/18,112250,112270,112160,112180
23/10/18,112180,112190,112150,112150
23/10/18,112160,112220,112140,112220
23/10/18,112220,112290,112200,112260
23/10/18,112250,112290,112230,112260
23/10/18,112250,112370,112250,112360
23/10/18,112360,112360,112310,112330
23/10/18,112320,112330,112250,112290
23/10/18,112290,112320,112250,112260
23/10/18,112270,112280,112210,112220
23/10/18,112210,112330,112200,112330
23/10/18,112320,112320,112280,112280
23/10/18,112270,112350,112230,112310
23/10/18,112320,112320,112270,112280
23/10/18,112300,112400,112290,112310
23/10/18,112320,112370,112270,112280
23/10/18,112290,112310,112250,112260
23/10/18,112270,112360,112270,112350
23/10/18,112350,112380,112320,112320
23/10/18,112320,112370,112290,112310
23/10/18,112300,112330,112260,112300
23/10/18,112310,112320,112250,112300
23/10/18,112300,112350,112280,112330
23/10/18,112340,112350,112280,112290
23/10/18,112290,112310,112280,112280
23/10/18,112270,112290,112250,112250
23/10/18,112250,112260,112210,112210
23/10/18,112230,112250,112170,112180
23/10/18,112190,112250,112180,112250
23/10/18,112250,112280,112210,112230
23/10/18,112220,112320,112210,112310
23/10/18,112300,112320,112250,112260
23/10/18,112260,112270,112200,112210
23/10/18,112210,112220,112150,112150
23/10/18,112160,112200,112150,112180
23/10/18,112170,112270,112170,112270
23/10/18,112270,112300,112240,112250
23/10/18,112270,112330,112260,112270
23/10/18,112280,112340,112280,112320
23/10/18,112330,112340,112270,112280
23/10/18,112270,112310,112260,112290
23/10/18,112290,112310,112240,112250
23/10/18,112250,112250,112180,112200
23/10/18,112210,112230,112150,112170
